JD ID for Subcribing Institution,625,,,,,,,,,,
SO Identifier,wiley_full collection_2012-2014_nesli2,,,,,,,,,,
Subscription Term Start Year,2012,,,,,,,,,,
Subscription Term End Year,2014,,,,,,,,,,
included_st, publication_title,print_identifier,online_identifier,date_first_issue_subscribed,num_first_vol_subscribed,num_first_issue_subscribed,date_last_issue_subscribed,num_last_vol_subscribed,num_last_issue_subscribed,embargo_info,core_title
,ANTHROPOLOGY & EDUCATION QUARTERLY,0161-7761,1548-1492,1997,28,,,,,,
,ANTHROPOLOGY & HUMANISM,1559-9167,1548-1409,1997,22,,,,,,
,ANTHROPOLOGY OF CONSCIOUSNESS,1053-4202,1556-3537,1997,8,,,,,,
,ANTHROPOLOGY OF WORK REVIEW,0883-024X,1548-1417,1997,18,,,,,,
,ANTHROPOLOGY TODAY,0268-540X,1467-8322,2000,16,,,,,,
,ANTIPODE,0066-4812,1467-8330,1997,29,,,,,,
,ANZ JOURNAL OF SURGERY,1445-1433,1445-2197,1997,67,,,,,,
,APMIS,0903-4641,1600-0463,1997,105,,,,,,
,APPLIED COGNITIVE PSYCHOLOGY,0888-4080,1099-0720,1997,,,,,,,
,APPLIED ORGANOMETALLIC CHEMISTRY,0268-2605,1099-0739,1997,,,,,,,
,APPLIED PSYCHOLOGY,0269-994X,1464-0597,1997,46,,,,,,
,APPLIED PSYCHOLOGY: HEALTH AND WELL-BEING,1758-0846,1758-0854,2009,1,,,,,,
,APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,1524-1904,1526-4025,1997,,,,,,,Y
,APPLIED VEGETATION SCIENCE,1402-2001,1654-109X,1998,1,,,,,,
,AQUACULTURE NUTRITION,1353-5773,1365-2095,1997,3,,,,,,
,AQUACULTURE RESEARCH,1355-557X,1365-2109,1997,28,,,,,,
,AQUATIC CONSERVATION: MARINE AND FRESHWATER ECOSYSTEMS,1052-7613,1099-0755,1997,,,,,,,
,ARABIAN ARCHAEOLOGY AND EPIGRAPHY,0905-7196,1600-0471,1997,8,,,,,,
,ARCHAEOLOGICAL PROSPECTION,1075-2196,1099-0763,1997,,,,,,,
,ARCHAEOMETRY,0003-813X,1475-4754,1997,39,,,,,,
,ARCHEOLOGICAL PAPERS OF THE AMERICAN ANTHROPOLOGICAL ASSOCIATION,1551-823X,1551-8248,1997,7,,,,,,
,ARCHITECTURAL DESIGN,0003-8504,1554-2769,2005,75,,,,,,Y
,ARCHIV DER PHARMAZIE,0365-6233,1521-4184,1998,331,,,,,,
,ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY  (ELECTRONIC),0739-4462,1520-6327,1997,34,,,,,,
,AREA,0004-0894,1475-4762,1997,29,,,,,,
,ARISTOTELIAN SOCIETY SUPPLEMENTARY VOLUME,0309-7013,1467-8349,1997,71,,,,,,
,ART HISTORY,0141-6790,1467-8365,1997,20,,,,,,Y
,ARTHRITIS & RHEUMATISM,0004-3591,1529-0131,1999,42,,,,,,Y
,ARTHRITIS CARE AND RESEARCH,2151-464X,#N/A,2010,,,,,,,
,ARTIFICIAL ORGANS,0160-564X,1525-1594,1997,21,,,,,,
,ASHE HIGHER EDUCATION REPORT,1551-6970,1554-6306,2001,28,,,,,,
,ASIA PACIFIC JOURNAL OF HUMAN RESOURCES,1038-4111,1744-7941,,,,,,,,
,ASIA PACIFIC VIEWPOINT,1360-7456,1467-8373,1997,38,,,,,,
,ASIAN ECONOMIC JOURNAL,1351-3958,1467-8381,1997,11,,,,,,
,ASIAN ECONOMIC POLICY REVIEW,1832-8105,1748-3131,2006,1,,,,,,
,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,1367-2223,1467-839X,1998,1,,,,,,
,ASIAN POLITICS AND POLICY,1943-0779,1943-0787,2009,1,,,,,,
,ASIAN SOCIAL WORK AND POLICY REVIEW,1753-1403,1753-1411,2007,1,,,,,,
,ASIAN-PACIFIC ECONOMIC LITERATURE,0818-9935,1467-8411,1997,11,,,,,,
,ASIA-PACIFIC JOURNAL OF CHEMICAL ENGINEERING,1932-2135,1932-2143,2006,1,,,,,,
,ASIA-PACIFIC JOURNAL OF CLINICAL ONCOLOGY,1743-7555,1743-7563,2005,1,,,,,,
,ASSESSMENT UPDATE,1041-6099,1536-0725,1997,9,,,,,,
,ASTRONOMISCHE NACHRICHTEN,0004-6337,1521-3994,1999,320,,,,,,
,ASTRONOMY & GEOPHYSICS,1366-8781,1468-4004,2000,41,,,,,,
,ATMOSPHERIC SCIENCE LETTERS,-,1530-261X,2000,1,,,,,,
,AUSTRAL ECOLOGY,1442-9985,1442-9993,1997,22,,,,,,
,AUSTRALASIAN JOURNAL OF DERMATOLOGY,0004-8380,1440-0960,1997,38,,,,,,
,AUSTRALASIAN JOURNAL ON AGEING,1440-6381,1741-6612,1997,14,,,,,,
,AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS,1369-1473,1467-842X,1997,39,,,,,,
,AUSTRALIAN ACCOUNTING REVIEW,1035-6908,1835-2561,1997,6,,,,,,
,AUSTRALIAN AND NEW ZEALAND JOURNAL OF OBSTETRICS AND GYNAECOLOGY,0004-8666,1479-828X,1997,37,,,,,,Y
,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH,1326-0200,1753-6405,1997,21,,,,,,
,AUSTRALIAN DENTAL JOURNAL,0045-0421,1834-7819,1997,42,,,,,,
,AUSTRALIAN ECONOMIC HISTORY REVIEW,0004-8992,1467-8446,1997,37,,,,,,
,AUSTRALIAN ECONOMIC PAPERS,0004-900X,1467-8454,1997,36,,,,,,
,AUSTRALIAN ENDODONTIC JOURNAL,1329-1947,1747-4477,1997,32,,,,,,
,AUSTRALIAN JOURNAL OF AGRICULTURAL & RESOURCE ECONOMICS,1364-985X,1467-8489,1997,41,,,,,,
,AUSTRALIAN JOURNAL OF ENTOMOLOGY,1326-6756,1440-6055,1997,36,,,,,,
,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,1322-7130,1755-0238,1997,3,,,,,,
,AUSTRALIAN JOURNAL OF POLITICS AND HISTORY,0004-9522,1467-8497,1997,43,,,,,,
,AUSTRALIAN JOURNAL OF PSYCHOLOGY,0004-9530,1742-9536,1997,49,,,,,,
,AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION,0313-6647,1467-8500,1997,56,,,,,,
,AUSTRALIAN JOURNAL OF RURAL HEALTH,1038-5282,1440-1584,1997,5,,,,,,
,AUSTRALIAN OCCUPATIONAL THERAPY JOURNAL,0045-0766,1440-1630,1999,46,,,,,,
,AUSTRALIAN PSYCHOLOGIST,0005-0067,1742-9544,1997,32,,,,,,
,AUSTRALIAN VETERINARY JOURNAL,0005-0423,1751-0813,1997,75,,,,,,
,AUTONOMIC & AUTACOID PHARMACOLOGY,1474-8665,1474-8673,1997,22,,,,,,
,BASIC AND CLINICAL PHARMACOLOGY & TOXICOLOGY,1742-7835,1742-7843,1997,80,,,,,,
,BASIN RESEARCH,0950-091X,1365-2117,1997,9,,,,,,
,BAUPHYSIK,0171-5445,1437-0980,2004,26,,,,,,
,BAUTECHNIK,0932-8351,1437-0999,2004,81,,,,,,
,BEHAVIORAL INTERVENTIONS,1072-0847,1099-078X,1997,,,,,,,
,BEHAVIORAL SCIENCES & THE LAW,0735-3936,1099-0798,1997,,,,,,,
,BELL LABS TECHNICAL JOURNAL,1089-7089,1538-7305,1997,,,,,,,
,BERICHTE ZUR WISSENSCHAFTSGESCHICHTE,0170-6233,1522-2365,2002,25,,,,,,
,BETON- UND STAHLBETONBAU,0005-9900,1437-1006,2004,99,,,,,,
,BIOELECTROMAGNETICS,0197-8462,1521-186X,1997,,,,,,,
,BIOESSAYS,0265-9247,1521-1878,1998,20,,,,,,
,BIOETHICS,0269-9702,1467-8519,1997,11,,,,,,Y
,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4066,1095-8312,1997,60,,,,,,
,BIOLOGICAL REVIEWS,1464-7931,1469-185X,1997,72,,,,,,
,BIOLOGIE IN UNSERER ZEIT (BIUZ),0045-205X,1521-415X,2000,30,,,,,,
,BIOLOGY OF THE CELL,0248-4900,1768-322X,,,,,,,,
,BIOMEDICAL CHROMATOGRAPHY,0269-3879,1099-0801,1997,,,,,,,
,BIOMETRICAL JOURNAL,0323-3847,1521-4036,1998,40,,,,,,
,BIOMETRICS,0006-341X,1541-0420,1999,55,,,,,,
,BIOPHARMACEUTICS AND DRUG DISPOSITION,0142-2782,1099-081X,1997,,,,,,,
,BIOPOLYMERS,0006-3525,1097-0282,1997,,,,,,,
,BIOTECHNOLOGY & BIOENGINEERING,0006-3592,1097-0290,1997,,,,,,,
,BIOTROPICA,0006-3606,1744-7429,1997,29,,,,,,
,BIPOLAR DISORDERS,1398-5647,1399-5618,1999,1,,,,,,
,BIRTH,0730-7659,1523-536X,1997,24,,,,,,Y
,BIRTH DEFECTS RESEARCH,1542-9768,1542-0760,1997,,,,,,,
,"Birth defects research. Part A, Clinical and molecular teratology ",1542-0752,,2003,67,,,,,,
,"Birth defects research. Part B, Developmental and reproductive toxicology ",1542-9733,,2003,68,,,,,,
,BJOG : AN INTERNATIONAL JOURNAL OF OBSTETRICS & GYNAECOLOGY,1470-0328,1471-0528,1997,104,,,,,,Y
,BJU INTERNATIONAL,1464-4096,1464-410X,1997,79,,,,,,
,BOARD & ADMINISTRATOR FOR ADMINISTRATORS ONLY,1525-7878,1949-3215,2009,25,,,,,,
,BOARD LEADERSHIP: POLICY GOVERNANCE IN ACTION,1061-4249,1542-7862,2000,2000,,,,,,
,BOREAS,0300-9483,1502-3885,1997,26,,,,,,
,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY,0024-4074,1095-8339,1997,123,,,,,,
,BRAIN PATHOLOGY,1015-6305,1750-3639,1997,7,,,,,,
,BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,0306-5251,1365-2125,1997,43,,,,,,Y
,BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,0144-6657,2044-8260,1999,38,,,,,,Y
,BRITISH JOURNAL OF DERMATOLOGY,0007-0963,1365-2133,1997,136,,,,,,Y
,BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,0261-510X,2044-835X,1999,17,,,,,,Y
,BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,0007-0998,2044-8279,1997,67,,,,,,Y
,BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,0007-1013,1467-8535,1997,28,,,,,,Y
,BRITISH JOURNAL OF HAEMATOLOGY,0007-1048,1365-2141,1997,100,,,,,,
,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,1359-107X,2044-8287,1999,4,,,,,,Y
,BRITISH JOURNAL OF INDUSTRIAL RELATIONS,0007-1080,1467-8543,1997,35,,,,,,Y
,BRITISH JOURNAL OF LEARNING DISABILITIES,1354-4187,1468-3156,1997,25,,,,,,Y
,BRITISH JOURNAL OF MANAGEMENT,1045-3172,1467-8551,1997,8,,,,,,Y
,BRITISH JOURNAL OF MATHEMATICAL AND STATISTICAL PSYCHOLOGY,0007-1102,2044-8317,1999,52,,,,,,
,BRITISH JOURNAL OF POLITICS & INTERNATIONAL RELATIONS,1369-1481,1467-856X,1999,1,,,,,,Y
,BRITISH JOURNAL OF PSYCHOLOGY,0007-1269,2044-8295,1997,88,,,,,,Y
,BRITISH JOURNAL OF PSYCHOTHERAPY,0265-9883,1752-0118,1997,13,,,,,,Y
,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,0144-6665,2044-8309,1999,38,,,,,,Y
,BRITISH JOURNAL OF SPECIAL EDUCATION,0952-3383,1467-8578,1997,24,,,,,,
,BRITISH JOURNAL OF SURGERY,0007-1323,1365-2168,1998,85,,,,,,
,BRUCE R HOPKINS' NONPROFIT COUNSEL,1542-8419,1542-8427,2003,20,,,,,,
,BULLETIN OF ECONOMIC RESEARCH,0307-3378,1467-8586,1997,49,,,,,,
,BULLETIN OF LATIN AMERICAN RESEARCH,0261-3050,1470-9856,1997,16,,,,,,
,BULLETIN OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE & TECHNOLOGY (ELECTRONIC),-,1550-8366,1997,,,,,,,
,BULLETIN OF THE INSTITUTE OF CLASSICAL STUDIES,0076-0730,2041-5370,1997,41,,,,,,
,BUSINESS AND SOCIETY REVIEW,0045-3609,1467-8594,1998,99,,,,,,
,BUSINESS ETHICS: A EUROPEAN REVIEW,0962-8770,1467-8608,1997,6,,,,,,Y
,BUSINESS STRATEGY AND THE ENVIRONMENT,0964-4733,1099-0836,1997,,,,,,,
,BUSINESS STRATEGY REVIEW,0955-6419,1467-8616,1997,8,,,,,,Y
,CA: A CANCER JOURNAL FOR CLINICIANS,0007-9235,1542-4863,1997,47,,,,,,
,CAMPUS LEGAL ADVISOR,1531-3999,1945-6239,2008,8,,,,,,
,CAMPUS SECURITY REPORT,1551-2800,1945-6247,2008,4,,,,,,
,CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES,0825-0383,1936-4490,1997,14,,,,,,
,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS,0008-3976,1744-7976,1997,45,,,,,,
,CANADIAN JOURNAL OF ECONOMICS,0008-4085,1540-5982,2000,33,,,,,,
,CANADIAN PUBLIC ADMINISTRATION/ADMINISTRATION PUBLIQUE DU CANADA,0008-4840,1754-7121,1997,40,,,,,,
,CANADIAN REVIEW OF SOCIOLOGY/REVUE CANADIENNE DE SOCIOLOGIE,1755-6171,1755-618X,1997,34,,,,,,
,CANCER,0008-543X,1097-0142,1997,79,,,,,,
,CANCER CYTOPATHOLOGY,1934-662X,1934-6638,1997,117,,,,,,
,CANCER SCIENCE,1347-9032,1349-7006,1997,88,,,,,,
,CARDIOVASCULAR THERAPEUTICS,1755-5914,1755-5922,1997,15,,,,,,
,CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,1522-1946,1522-726X,1997,,,,,,,
,CELL BIOCHEMISTRY AND FUNCTION  (ELECTRONIC),0263-6484,1099-0844,1997,,,,,,,
,CELL PROLIFERATION,0960-7722,1365-2184,1997,30,,,,,,
,CELLULAR MICROBIOLOGY (ELECTRONIC),1462-5814,1462-5822,1999,1,,,,,,
,CENTAURUS,0008-8994,1600-0498,1997,39,,,,,,
,CHEMICAL BIOLOGY & DRUG DESIGN (ELECTRONIC),1747-0277,1747-0285,1997,49,,,,,,
,CHEMICAL ENGINEERING & TECHNOLOGY (CET),0930-7516,1521-4125,1998,21,,,,,,
,CHEMICAL VAPOR DEPOSITION,0948-1907,1521-3862,1998,4,,,,,,
,CHEMIE IN UNSERER ZEIT (CHIUZ),0009-2851,1521-3781,2000,34,,,,,,
,CHEMIE-INGENIEUR-TECHNIK (CIT),0009-286X,1522-2640,2000,72,,,,,,
,CHEMISTRY - A EUROPEAN JOURNAL,0947-6539,1521-3765,1998,4,,,,,,
,CHEMISTRY & BIODIVERSITY,1612-1872,1612-1880,2004,1,,,,,,
,"CHEMKON - CHEMIE KONKRET, FORUM FUER UNTERRICHT UND DIDAKTIK",0944-5846,1521-3730,2002,9,,,,,,
,CHILD & FAMILY SOCIAL WORK,1356-7500,1365-2206,1997,2,,,,,,Y
,CHILD ABUSE REVIEW,0952-9136,1099-0852,1997,,,,,,,Y
,CHILD AND ADOLESCENT MENTAL HEALTH,1475-357X,1475-3588,1997,2,,,,,,Y
,CHILD DEVELOPMENT,0009-3920,1467-8624,1997,68,,,,,,Y
,CHILD DEVELOPMENT PERSPECTIVES,1750-8592,1750-8606,2007,1,,,,,,Y
,"CHILD: CARE, HEALTH AND DEVELOPMENT",0305-1862,1365-2214,1997,23,,,,,,Y
,CHILDREN & SOCIETY,0951-0605,1099-0860,1997,11,,,,,,Y
,CHINA AND WORLD ECONOMY,1671-2234,1749-124X,2006,14,,,,,,
,CHINESE JOURNAL OF CHEMISTRY,-,1614-7065,,,,,,,,
,CHIRALITY,0899-0042,1520-636X,1997,,,,,,,
,CITY & COMMUNITY,1535-6841,1540-6040,2002,1,,,,,,
,CITY & SOCIETY,0893-0465,1548-744X,1997,9,,,,,,
,CLADISTICS,0748-3007,1096-0031,1997,13,,,,,,
,"CLEAN - SOIL, AIR, WATER",1863-0650,1863-0669,1998,26,,,,,,
,CLINICAL & EXPERIMENTAL ALLERGY,0954-7894,1365-2222,1997,27,,,,,,
,CLINICAL & EXPERIMENTAL ALLERGY REVIEWS,1472-9725,1472-9733,2001,1,,,,,,
,CLINICAL & EXPERIMENTAL DERMATOLOGY,0307-6938,1365-2230,1997,22,,,,,,
,CLINICAL & EXPERIMENTAL IMMUNOLOGY,0009-9104,1365-2249,1997,107,,,,,,
,CLINICAL & EXPERIMENTAL OPHTHALMOLOGY,1442-6404,1442-9071,1997,25,,,,,,
,CLINICAL ANATOMY,0897-3806,1098-2353,1997,,,,,,,
,CLINICAL AND EXPERIMENTAL OPTOMETRY,0816-4622,1444-0938,1997,80,,,,,,
,CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY (ELECTRONIC),0305-1870,1440-1681,1997,24,,,,,,
,CLINICAL ENDOCRINOLOGY,0300-0664,1365-2265,1997,46,,,,,,
,CLINICAL GENETICS,0009-9163,1399-0004,1997,51,,,,,,
,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,1523-0899,1708-8208,1999,1,,,,,,Y
,CLINICAL MICROBIOLOGY AND INFECTION,1198-743X,1469-0691,1997,3,,,,,,
,CLINICAL ORAL IMPLANTS RESEARCH,0905-7161,1600-0501,1997,8,,,,,,Y
,CLINICAL OTOLARYNGOLOGY,1749-4478,1749-4486,1997,22,,,,,,
,CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,1475-0961,1475-097X,1997,17,,,,,,
,CLINICAL PSYCHOLOGIST,1328-4207,1742-9552,1997,,,,,,,
,CLINICAL PSYCHOLOGY AND PSYCHOTHERAPY (AN INTERNATIONAL JOURNAL OF THEORY & PRACTICE),1063-3995,1099-0879,1997,1,,,,,,Y
,CLINICAL PSYCHOLOGY: SCIENCE AND PRACTICE,0969-5893,1468-2850,1997,4,,,,,,
,CLINICAL TRANSPLANTATION,0902-0063,1399-0012,1999,13,,,,,,
,CNS: NEUROSCIENCE AND THERAPEUTICS,1755-5930,1755-5949,1997,3,,,,,,
,COGNITIVE SCIENCE - A MULTIDISCIPLINARY JOURNAL,0364-0213,1551-6709,1997,,,,,,,
,COLLEGE ATHLETICS AND THE LAW,1552-8774,1943-7579,2008,4,,,,,,
,COLOR RESEARCH & APPLICATION,0361-2317,1520-6378,1997,,,,,,,
,COLORATION TECHNOLOGY,1472-3581,1478-4408,1997,113,,,,,,
,COLORECTAL DISEASE,1462-8910,1463-1318,1999,1,,,,,,
,COMMUNICATION THEORY,1050-3293,1468-2885,1997,7,,,,,,
,"COMMUNICATION, CULTURE & CRITIQUE",1753-9129,1753-9137,2008,1,,,,,,
,COMMUNICATIONS ON PURE & APPLIED MATHEMATICS,0010-3640,1097-0312,1997,,,,,,,
,COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,0301-5661,1600-0528,1997,25,,,,,,
,COMPLEXITY (ELECTRONIC),1076-2787,1099-0526,1997,,,,,,,
,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,-,1541-4337,2002,1,,,,,,
,COMPUTATIONAL INTELLIGENCE,0824-7935,1467-8640,1997,13,,,,,,
,COMPUTER ANIMATION AND VIRTUAL WORLDS (PREV: JNL OF VISUALISATION & COMPUTER ANIMATION),1546-4261,1546-427X,1997,,,,,,,Y
,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,1061-3773,1099-0542,1997,,,,,,,
,COMPUTER GRAPHICS FORUM (ELECTRONIC),0167-7055,1467-8659,1997,16,,,,,,
,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,1093-9687,1467-8667,1997,12,,,,,,Y
,CONCEPTS IN MAGNETIC RESONANCE,1546-6086,1552-5023,1997,,,,,,,
,CONCEPTS IN MAGNETIC RESONANCE PART B,1552-5031,1552-504X,2002,15,,,,,,
,CONCURRENCY AND COMPUTATION: PRACTICE & EXPERIENCE,1532-0626,1532-0634,1997,,,,,,,
